recipe_id,easy,child,beauty,lunchbox,volume,lunch,nutrition,cheap,snack
4159176,1,0,0,0,0,0,0,0,0
2866389,0,0,0,0,0,0,0,0,0
2854702,1,0,0,0,0,0,0,1,0
3903843,0,0,0,1,0,0,0,0,1
916202,1,0,0,0,0,0,0,0,0
2500915,1,0,0,0,0,0,0,1,0
2405875,1,0,0,0,0,0,0,0,0
859521,1,0,0,0,0,0,0,0,0
3103155,1,1,1,0,1,0,0,0,0
1398323,1,0,0,0,0,0,0,0,0
1363691,0,0,0,0,0,0,0,0,0
3834852,1,0,0,0,0,0,0,0,0
2442804,1,0,1,0,0,0,0,0,0
1551743,0,0,1,0,1,0,0,0,0
328422,0,0,0,0,0,0,0,0,0
859171,0,0,0,0,0,0,0,0,0
838462,0,0,0,1,0,0,0,0,0
916652,1,0,0,0,0,0,0,0,0
2659885,1,0,0,0,0,0,0,0,1
2338930,0,0,0,1,0,0,0,0,0
1235239,0,1,0,0,0,0,0,0,0
2396037,1,0,0,0,0,1,0,0,1
1950379,0,0,0,0,0,0,0,0,0
2187511,0,1,0,0,0,0,0,0,0
1329482,0,0,0,0,0,0,0,0,0
2167745,0,0,0,0,0,0,0,0,0
643460,0,0,1,0,0,0,0,0,0
3972003,1,0,0,0,0,0,0,0,0
2241788,1,0,1,0,0,0,0,0,1
1516732,0,0,0,0,0,0,0,0,0
2813323,0,1,0,0,0,0,0,0,0
3306430,0,0,0,0,0,1,0,0,0
575854,1,0,0,0,0,0,0,0,0
250588,0,1,0,0,0,0,0,0,0
1485280,1,1,0,0,0,0,0,0,0
2069593,1,0,0,0,0,0,0,0,0
2117914,1,0,1,0,0,0,0,0,1
1388323,1,0,0,0,0,0,0,0,0
2622831,0,0,0,0,0,0,0,0,0
456105,1,0,0,0,0,0,0,0,0
291828,0,0,0,0,0,0,0,0,0
3295182,1,1,0,0,1,0,0,0,0
1936906,0,0,1,0,0,0,0,0,0
2181095,1,0,1,0,0,0,0,0,0
1285389,0,0,0,0,0,0,0,0,0
235522,0,1,0,0,0,0,0,0,0
3263202,0,0,0,0,0,0,0,0,0
2261294,1,0,0,0,0,0,0,0,0
784275,0,0,0,0,0,0,0,0,0
